treated1fb	treated2fb	treated3fb	untreated1fb	untreated2fb	untreated3fb	untreated4fb
FBgn0036015	1	0	0	1	1	0	0
FBgn0036016	0	2	0	0	0	0	0
FBgn0036017	17	17	16	19	27	8	16
FBgn0036018	539	397	300	480	719	306	314
FBgn0036019	63	22	11	33	32	13	12
FBgn0036020	333	327	348	323	508	272	265
FBgn0036022	3	1	2	4	2	3	5
FBgn0036023	2	3	1	1	0	1	0
FBgn0036024	2	1	1	3	4	3	1
FBgn0036028	179	185	124	155	198	84	102
FBgn0036029	5	1	5	4	10	4	1
FBgn0036030	598	565	471	583	803	422	510
FBgn0036031	0	1	3	2	3	2	0
FBgn0036032	814	903	694	579	1398	646	627
FBgn0036035	508	448	302	451	736	224	298
FBgn0036036	126	100	69	74	131	33	62
FBgn0036038	515	723	458	535	638	380	429
FBgn0036039	403	341	318	385	500	248	290
FBgn0036040	7	3	2	1	5	2	6
FBgn0036043	3450	2926	2598	3349	4499	2470	2253
FBgn0036044	0	0	1	0	0	0	0
FBgn0036046	0	0	0	0	0	0	0
FBgn0036052	341	373	286	267	443	210	196
FBgn0036053	3118	2742	2321	3964	4281	2252	2437
FBgn0036056+FBgn0036057	113	113	145	100	119	62	71
FBgn0036058	2075	1998	2050	1923	2559	1554	1674
FBgn0036059	1109	710	739	1113	1899	819	956
FBgn0036062	79	34	57	46	38	33	23
FBgn0036063	126	88	69	98	186	70	78
FBgn0036066	0	0	0	0	0	0	1
FBgn0036068	15	26	19	16	34	16	20
FBgn0036070	0	0	0	0	0	0	0
FBgn0036072	0	0	0	0	0	0	0
FBgn0036075	1	0	0	0	0	0	0
FBgn0036078	0	0	0	0	0	0	0
FBgn0036080	0	0	0	0	0	0	0
FBgn0036082	27	21	10	12	30	11	7
FBgn0036083	47	11	3	7	53	38	6
FBgn0036085	2	5	3	1	4	6	0
FBgn0036089	0	0	0	0	1	0	0
FBgn0036090	312	252	292	334	477	176	245
FBgn0036091	6	4	3	3	5	3	4
FBgn0036093	6	12	6	11	12	5	2
FBgn0036094	14	6	5	7	15	9	5
FBgn0036096	1185	1334	1148	1055	1410	730	883
FBgn0036099	1330	899	728	780	1674	546	620
FBgn0036101	382	148	190	350	674	221	220
FBgn0036102	1	2	3	1	5	4	1
FBgn0036104	755	797	557	613	952	401	458
FBgn0036105	107	74	49	76	75	26	54
FBgn0036106	1	1	1	1	1	0	1
FBgn0036107	237	114	125	182	285	66	144
FBgn0036108	0	0	0	0	0	0	0
FBgn0036109	1	0	1	0	0	0	1
FBgn0036110	31	47	46	62	74	49	70
FBgn0036111	3645	2982	2724	3295	4264	2304	2287
FBgn0036112	0	0	0	0	0	0	0
FBgn0036115	3	0	2	2	3	1	2
FBgn0036116	23	30	20	53	42	35	25
FBgn0036117	282	159	145	269	261	118	134
FBgn0036118	117	92	53	77	157	30	57
FBgn0036121	2136	1515	1768	2132	2880	1096	1595
FBgn0036122	364	357	290	322	458	221	245
FBgn0036124	913	774	603	856	1277	552	612
FBgn0036125	6	8	3	0	3	1	2
FBgn0036126	304	166	96	170	306	70	103
FBgn0036128+FBgn0052072	7	3	3	2	5	6	4
FBgn0036131	0	0	1	0	0	0	0
FBgn0036133	722	862	870	910	931	661	806
FBgn0036134	1282	1289	1297	1320	1993	1057	1087
FBgn0036135	373	538	464	425	468	301	352
FBgn0036136	638	640	535	498	737	332	419
FBgn0036139	1	2	2	1	3	0	6
FBgn0036141	1486	1689	1118	1429	1662	778	941
FBgn0036142	81	71	63	90	84	46	52
FBgn0036143	9	4	0	8	12	5	1
FBgn0036144	2765	2464	2315	2443	3809	1722	1823
FBgn0036145	31	11	11	53	70	19	36
FBgn0036146	38	33	29	41	36	28	29
FBgn0036147	2075	1900	1700	2570	3057	1676	1818
FBgn0036150	16	22	19	14	16	9	13
FBgn0036152	206	211	152	100	299	193	154
FBgn0036153	33	28	19	45	37	28	15
FBgn0036154	31	15	16	13	48	20	16
FBgn0036155	61	69	65	26	141	91	95
FBgn0036156	0	0	0	0	0	0	0
FBgn0036157	7	7	1	1	10	1	3
FBgn0036158	0	0	0	1	0	0	0
FBgn0036159	590	404	388	439	585	292	316
FBgn0036160	1	1	2	0	2	1	3
FBgn0036161	1	0	0	0	1	2	1
FBgn0036162	5	8	5	4	8	9	4
FBgn0036164	1	0	0	0	1	0	1
FBgn0036165	854	446	336	398	969	404	329
FBgn0036168	2	0	2	0	1	1	2
FBgn0036169+FBgn0036170	292	236	284	156	274	147	195
FBgn0036173	881	511	548	591	1002	362	474
FBgn0036176	0	1	0	0	0	0	0
FBgn0036177	0	3	0	0	1	0	0
FBgn0036178	0	0	0	0	0	0	0
FBgn0036179	1	5	1	1	2	1	2
FBgn0036180	1048	1062	983	1046	1324	850	788
FBgn0036181	44	106	62	41	125	118	112
FBgn0036183	0	0	0	1	0	0	0
FBgn0036184	283	269	189	257	269	137	169
FBgn0036186	156	147	89	149	179	95	81
FBgn0036187	458	434	292	480	608	310	309
FBgn0036188	421	416	454	409	459	278	351
FBgn0036191	743	766	615	868	1015	594	593
FBgn0036192	57	31	29	38	76	26	24
FBgn0036193	72	29	24	37	69	21	33
FBgn0036194	946	974	857	1048	1632	778	947
FBgn0036195	3	1	1	2	1	0	0
FBgn0036196	165	182	135	163	286	200	224
FBgn0036198	151	164	171	117	170	61	92
FBgn0036199	521	553	546	718	879	528	543
FBgn0036202	5	10	1	0	4	5	0
FBgn0036203	0	0	0	0	0	0	1
FBgn0036204	1	0	0	0	0	0	0
FBgn0036205	10	11	7	5	4	1	2
FBgn0036206	3	1	3	1	2	0	4
FBgn0036207	394	237	221	224	445	161	164
FBgn0036208	0	0	0	0	1	1	0
FBgn0036210	98	113	112	137	136	71	108
FBgn0036212+FBgn0036211	891	1019	864	1127	1332	772	868
FBgn0036213	24358	24171	20609	26272	23735	13343	21836
FBgn0036214	30	13	8	18	32	11	18
FBgn0036217	0	0	0	0	0	0	0
FBgn0036218	0	0	0	0	0	0	0
FBgn0036219	0	0	1	0	0	0	0
FBgn0036220	0	0	0	0	0	0	0
FBgn0036221	0	0	0	0	0	0	0
FBgn0036222	0	0	0	0	0	0	0
FBgn0036223	0	0	0	0	0	0	0
FBgn0036224	1	3	1	2	2	2	2
FBgn0036225	0	0	0	0	0	0	0
FBgn0036226	1	0	0	0	0	0	0
FBgn0036227	0	0	0	0	0	0	0
FBgn0036228	0	0	0	0	0	0	0
FBgn0036229	0	0	0	2	1	1	0
FBgn0036230	1	0	0	4	2	0	0
FBgn0036232	0	0	1	1	0	0	0
FBgn0036233	1	0	0	2	1	0	0
FBgn0036234	0	0	0	0	1	0	2
FBgn0036235	5	4	5	6	7	4	5
FBgn0036236	1	0	1	0	1	0	1
FBgn0036237	1093	1680	1191	1187	1517	863	1035
FBgn0036239	1568	1519	1303	1667	2222	940	1183
FBgn0036240	335	396	316	351	322	213	265
FBgn0036242	0	0	1	0	1	0	0
FBgn0036246	0	0	0	0	0	0	0
FBgn0036248	424	332	277	374	496	247	232
FBgn0036249	182	184	159	151	249	101	125
FBgn0036250	0	1	1	0	1	1	0
FBgn0036254	541	370	276	415	878	297	298
FBgn0036255	106	32	58	87	129	27	76
FBgn0036257	1304	1109	1002	1492	2111	903	1039
FBgn0036258	4991	5117	4893	4672	7027	3117	3865
FBgn0036259	3	6	4	7	7	2	3
FBgn0036260	23	34	30	23	39	16	25
FBgn0036262	14	8	12	6	19	4	19
FBgn0036263	441	446	302	419	486	208	256
FBgn0036264	1	2	1	1	0	1	2
FBgn0036266	166	65	58	109	114	52	63
FBgn0036271	665	608	429	580	613	285	358
FBgn0036272	1206	1261	999	919	1200	542	666
FBgn0036273	151	158	127	129	219	105	106
FBgn0036274	0	0	0	0	0	0	0
FBgn0036277	608	512	459	480	633	232	360
FBgn0036278	2	4	3	0	1	1	3
FBgn0036279	883	1081	929	1500	1523	967	1045
FBgn0036282	18	20	20	19	12	10	9
FBgn0036285	0	0	0	0	0	0	1
FBgn0036286	709	696	698	787	848	503	613
FBgn0036287	20	28	31	9	25	1	6
FBgn0036288	119	88	104	132	170	89	100
FBgn0036289	87	68	79	61	83	47	44
FBgn0036290	2083	1540	1712	1258	1862	795	1167
FBgn0036291	144	110	83	138	138	74	83
FBgn0036292	222	246	177	191	293	103	145
FBgn0036294	3	2	1	12	13	4	9
FBgn0036298	760	943	827	888	948	585	703
FBgn0036299	1143	1195	1054	539	646	414	502
FBgn0036300	475	442	314	446	487	161	279
FBgn0036301	414	340	282	386	517	229	301
FBgn0036302	1549	1625	1492	1351	2396	1338	1345
FBgn0036305	683	529	444	508	889	353	388
FBgn0036306	528	312	279	612	551	157	291
FBgn0036309	2259	1209	890	1726	2100	981	953
FBgn0036310	2	0	0	0	5	4	1
FBgn0036311	7	5	3	6	8	4	3
FBgn0036312	750	532	492	683	1021	488	519
FBgn0036314	746	772	633	693	888	414	520
FBgn0036316	6478	5709	4327	5766	5202	2565	2893
FBgn0036317	802	714	585	573	825	353	412
FBgn0036318	2413	1833	1875	2383	3241	1832	1823
FBgn0036319	9	8	9	9	16	3	7
FBgn0036320	0	0	0	0	0	0	0
FBgn0036321	0	1	0	0	1	0	0
FBgn0036322	0	0	0	0	0	0	0
FBgn0036323	1	0	0	0	0	0	0
FBgn0036324	29	10	4	14	17	9	8
FBgn0036325	2	0	0	0	0	0	0
FBgn0036327	0	0	0	0	0	0	0
FBgn0036328	0	0	0	0	0	0	0
FBgn0036329	0	0	0	0	1	0	1
FBgn0036330	6	0	2	3	5	3	1
FBgn0036331	100	58	49	84	116	45	42
FBgn0036332	1022	457	273	764	1032	334	323
FBgn0036333	1629	1064	605	1069	1648	542	576
FBgn0036334	1518	1173	1541	1640	2481	1006	1625
FBgn0036335	242	171	195	211	249	116	133
FBgn0036336	393	448	331	473	462	214	266
FBgn0036337	814	849	627	941	1331	525	650
FBgn0036338	35	18	19	29	34	19	17
FBgn0036340	2010	2468	1750	1623	2573	1445	1414
FBgn0036341	838	890	678	835	1309	595	711
FBgn0036342	269	184	193	246	290	117	177
FBgn0036343	0	0	0	0	0	0	0
FBgn0036345	0	0	0	0	0	0	0
FBgn0036346	0	0	0	0	0	0	0
FBgn0036348	3	0	2	3	13	6	4
FBgn0036349	0	0	0	0	0	0	0
FBgn0036350	0	0	0	0	0	0	0
FBgn0036351	4	6	0	1	1	0	0
FBgn0036352	1	3	5	3	0	1	0
FBgn0036353	631	534	418	493	442	271	293
FBgn0036354	1112	1183	898	1321	1491	924	1030
FBgn0036356	183	164	132	121	160	64	100
FBgn0036359	0	0	0	0	1	0	0
FBgn0036360	2	0	0	0	0	1	0
FBgn0036361	0	0	0	0	0	0	0
FBgn0036362	0	0	0	0	0	0	0
FBgn0036363	2	2	3	4	0	0	0
FBgn0036364	2	2	1	0	0	3	0
FBgn0036365	1200	1561	1195	929	1394	774	861
FBgn0036366	229	186	204	187	274	105	154
FBgn0036367	1	2	1	0	14	0	0
FBgn0036368	83	77	72	55	103	53	65
FBgn0036369	260	230	231	235	378	172	190
FBgn0036372	2053	1692	1538	1350	2337	1017	1078
FBgn0036373	2383	3225	2695	3259	7413	4571	4355
FBgn0036374	1182	1651	1259	1304	1926	1047	976
FBgn0036376	2672	2688	1971	2665	3527	1647	1907
FBgn0036377	0	2	0	0	0	0	1
FBgn0036379	7	2	5	6	17	7	11
FBgn0036380	1	0	0	0	1	0	0
FBgn0036381	178	139	166	97	223	128	129
FBgn0036382	43	43	29	19	57	22	29
FBgn0036386	394	257	235	240	497	175	194
FBgn0036389	3330	3083	2428	2203	3706	1678	1733
FBgn0036390	2	0	0	2	0	0	0
FBgn0036391	0	0	0	1	3	0	2
FBgn0036393	1	0	0	0	0	0	0
FBgn0036394	0	0	0	0	0	0	0
FBgn0036395	75	67	54	47	129	33	53
FBgn0036396	115	111	87	93	159	63	74
FBgn0036397	264	352	258	284	292	165	179
FBgn0036398	5436	5512	3529	4797	8479	4340	3386
FBgn0036402	2122	1887	1656	2087	2407	1223	1357
FBgn0036403	0	0	0	0	0	0	0
FBgn0036405	295	467	321	317	478	188	260
FBgn0036406	134	99	71	79	191	62	59
FBgn0036410	37	24	10	14	35	15	9
FBgn0036411	0	1	1	0	0	0	0
FBgn0036414	0	0	0	0	1	0	0
FBgn0036415	0	0	0	1	0	1	0
FBgn0036416	1	2	1	2	2	0	1
FBgn0036417	0	0	0	0	0	0	0
FBgn0036419	4	5	3	7	13	6	7
FBgn0036421	0	0	0	0	0	0	0
FBgn0036422	3	3	2	6	6	7	1
FBgn0036423	128	113	102	115	94	61	97
FBgn0036426	0	0	0	0	0	0	0
FBgn0036427	0	0	0	0	0	0	0
FBgn0036428	228	141	140	138	342	161	164
FBgn0036433	56	45	34	42	89	33	24
FBgn0036436	7	0	0	0	0	0	0
FBgn0036437	0	0	0	0	0	0	0
FBgn0036438	0	0	0	0	0	0	0
FBgn0036439	0	0	0	0	0	0	0
FBgn0036440	1	0	1	0	0	0	0
FBgn0036441	0	0	0	0	0	0	0
FBgn0036442	3	4	1	3	7	5	2
FBgn0036443	9	3	4	1	5	2	2
FBgn0036446	833	633	437	586	837	352	341
FBgn0036447	1	1	3	2	7	0	1
FBgn0036448	4350	4069	3081	3474	5892	2686	2592
FBgn0036449	2755	2158	2152	1745	2888	1290	1224
FBgn0036450	1156	1431	1021	1113	1589	790	841
FBgn0036451	4741	5107	3803	2905	6779	3600	3440
FBgn0036454	776	858	835	395	1387	973	845
FBgn0036459	0	0	0	0	1	0	0
FBgn0036460	702	726	629	880	1085	544	716
FBgn0036461	18	8	6	10	22	6	6
FBgn0036462	831	875	861	757	1023	525	644
FBgn0036463	922	883	635	636	899	515	550
FBgn0036465	1	0	1	0	1	0	1
FBgn0036466	4	0	0	0	6	1	1
FBgn0036467	1	2	0	1	1	0	2
FBgn0036468	2	0	0	2	2	0	1
FBgn0036469	1	0	0	0	0	0	0
FBgn0036470	0	0	1	0	3	1	1
FBgn0036471	0	0	0	0	0	0	0
FBgn0036474	1	1	1	1	2	1	2
FBgn0036476	364	331	228	300	515	198	181
FBgn0036478	1385	1224	979	1503	1923	858	969
FBgn0036479	6	7	4	1	8	2	3
FBgn0036480	864	854	839	691	953	603	634
FBgn0036481	19	15	18	12	17	8	7
FBgn0036482	4	0	2	0	1	2	1
FBgn0036483	545	439	367	390	633	293	289
FBgn0036484	982	1146	777	920	1349	562	731
FBgn0036485	9	8	3	11	13	0	6
FBgn0036486	1568	1444	1053	1360	1864	888	845
FBgn0036487	1064	1055	980	915	1296	616	757
FBgn0036488	667	588	487	452	854	308	434
FBgn0036489	450	468	462	499	662	357	394
FBgn0036490	0	0	0	0	0	0	0
FBgn0036491	1	0	0	2	0	0	2
FBgn0036492	0	0	0	0	1	2	0
FBgn0036493	207	119	126	108	230	123	115
FBgn0036494	2	2	0	1	3	0	1
FBgn0036495	0	0	0	0	0	0	0
FBgn0036496	8	1	3	9	12	1	0
FBgn0036497	0	0	0	0	0	0	0
FBgn0036498	5	0	1	3	2	1	0
FBgn0036499	1	0	0	0	0	0	0
FBgn0036500	505	479	420	503	632	292	374
FBgn0036501	706	576	501	741	946	445	552
FBgn0036502	191	127	130	155	246	102	109
FBgn0036503	4	8	6	0	5	2	3
FBgn0036504	0	0	0	0	0	0	0
FBgn0036505	2229	1377	1401	2092	2837	1056	1321
FBgn0036509	1790	1536	1051	1484	1954	772	922
FBgn0036510	635	599	398	496	922	271	434
FBgn0036511	2198	2736	2097	2347	3150	1869	1903
FBgn0036512	582	545	348	552	581	242	336
FBgn0036514	854	603	423	621	1050	376	422
FBgn0036515	946	933	958	1066	1152	595	746
FBgn0036516	1150	1176	1057	942	1584	681	830
FBgn0036518	3580	3856	3024	3183	5931	2977	2926
FBgn0036519	292	339	236	284	415	196	226
FBgn0036520	6	12	9	8	24	9	13
FBgn0036522	597	571	404	407	767	346	341
FBgn0036527	0	0	0	0	0	0	0
FBgn0036528	0	0	0	0	0	0	0
FBgn0036529	0	0	0	0	0	0	0
FBgn0036531	0	0	0	0	0	0	0
FBgn0036532	1	0	0	0	1	1	0
FBgn0036533	1259	1021	1026	1177	1236	820	821
FBgn0036534	3467	3104	2190	2836	4306	1955	1748
FBgn0036536	186	159	141	208	295	117	155
FBgn0036537	748	417	519	624	1014	327	387
FBgn0036538	576	412	399	427	668	261	363
FBgn0036541	0	0	0	0	0	0	0
FBgn0036542	1	1	0	1	1	0	3
FBgn0036544	9	10	9	3	5	7	3
FBgn0036545	489	426	358	436	616	259	297
FBgn0036546	314	308	365	269	296	198	215
FBgn0036547	29	30	29	18	45	15	16
FBgn0036548	6199	6328	4203	5138	6649	3604	3670
FBgn0036549	210	219	231	216	319	192	211
FBgn0036550	7	3	3	3	5	0	0
FBgn0036551	107	129	105	113	144	80	88
FBgn0036552	7	10	9	19	14	7	5
FBgn0036553	4	6	2	2	5	3	3
FBgn0036556	1433	843	799	914	1909	716	720
FBgn0036557	641	598	432	478	791	327	439
FBgn0036558	4327	4980	4070	3603	4138	2955	3017
FBgn0036560	55	23	40	11	14	6	6
FBgn0036563	3	1	0	0	5	3	0
FBgn0036564	503	570	426	403	586	273	362
FBgn0036565	2033	1229	786	1314	1537	588	593
FBgn0036566	4130	3959	3164	4382	4613	2725	2802
FBgn0036567	1081	992	870	891	1115	611	691
FBgn0036568	416	565	338	329	560	207	285
FBgn0036569	300	245	167	280	322	143	160
FBgn0036570	525	537	390	481	579	229	306
FBgn0036571	535	353	237	405	558	216	227
FBgn0036573	169	109	89	112	180	60	88
FBgn0036574	950	919	596	959	1479	539	616
FBgn0036575	29	24	17	28	23	8	11
FBgn0036576	1032	1394	1281	1430	3482	2251	2098
FBgn0036577	2	1	0	2	2	2	2
FBgn0036578	376	336	211	380	444	193	226
FBgn0036579	404	356	309	354	515	234	237
FBgn0036580	576	339	438	617	604	250	330
FBgn0036581	472	333	215	337	604	184	242
FBgn0036583	0	0	0	0	0	0	0
FBgn0036584	0	2	0	0	1	0	0
FBgn0036585	0	0	0	0	0	0	0
FBgn0036586	0	0	0	1	0	0	0
FBgn0036587	1	1	0	0	5	0	0
FBgn0036588	0	0	0	0	0	0	0
FBgn0036589	0	0	0	0	0	0	0
FBgn0036590	0	0	0	0	0	0	1
FBgn0036591	0	0	0	0	0	0	0
FBgn0036592	0	0	0	0	0	0	0
FBgn0036593	0	0	0	0	0	0	0
FBgn0036594	0	0	0	0	0	0	0
FBgn0036595	1	0	0	1	2	0	0
FBgn0036596	0	0	0	0	0	0	1
FBgn0036597	0	0	0	0	0	0	0
FBgn0036598	0	0	0	0	0	0	0
FBgn0036599	0	0	0	0	0	0	0
FBgn0036600	0	0	0	0	1	0	0
FBgn0036601	0	0	0	0	0	0	1
FBgn0036602	0	0	1	1	0	0	0
FBgn0036603	0	0	0	0	0	0	0
FBgn0036605	0	0	0	0	1	0	0
FBgn0036606	0	0	0	0	0	0	0
FBgn0036607	0	0	0	0	0	0	0
FBgn0036608	0	0	0	0	0	0	0
FBgn0036609	0	0	0	0	0	0	0
FBgn0036610	0	0	0	1	1	0	1
FBgn0036612	4	5	3	2	2	3	2
FBgn0036614	378	324	251	314	499	263	217
FBgn0036615	305	228	239	247	261	126	154
FBgn0036616	104	73	106	218	181	116	127
FBgn0036617	1	0	0	0	1	0	1
FBgn0036618	0	0	0	0	0	0	0
FBgn0036619	12	3	5	1	10	1	3
FBgn0036620	71	61	69	27	51	33	36
FBgn0036621	2068	1794	1374	2010	2642	1336	1359
FBgn0036622	76	65	84	90	96	67	60
FBgn0036623	3685	3042	2864	3183	4249	2104	2336
FBgn0036624	950	869	686	883	1241	654	581
FBgn0036626	0	0	2	2	2	1	1
FBgn0036627	10	4	3	6	9	2	2
FBgn0036628	3	1	0	2	1	2	3
FBgn0036629	91	85	80	113	124	61	66
FBgn0036637	0	0	0	0	0	0	0
FBgn0036638	0	0	0	0	0	0	1
FBgn0036639	0	0	0	1	0	0	0
FBgn0036640	443	387	297	329	383	212	243
FBgn0036641	360	339	241	153	235	116	159
FBgn0036643	293	301	243	323	384	195	336
FBgn0036646	154	337	256	138	180	166	185
FBgn0036648	172	281	219	171	242	151	227
FBgn0036652	7	13	10	5	23	4	6
FBgn0036654	21	7	8	7	15	11	4
FBgn0036655	32	26	24	33	21	11	21
FBgn0036656	5	8	1	1	1	1	5
FBgn0036659	2	1	4	0	2	1	2
FBgn0036660	298	312	211	240	358	153	161
FBgn0036661	2434	1761	1739	2052	3532	1337	1392
FBgn0036662	362	492	348	496	482	272	308
FBgn0036663	6964	7737	6069	11351	12180	8088	8268
FBgn0036665	2	8	7	1	10	7	0
FBgn0036666	2408	1774	1782	1985	3790	1563	1672
FBgn0036667	494	200	164	242	545	108	143
FBgn0036668	2460	2307	1637	2102	3502	1410	1493
FBgn0036670	5	2	1	3	4	4	0
FBgn0036671	624	622	459	418	770	275	328
FBgn0036676	1	1	0	0	0	0	0
FBgn0036677	0	0	0	1	0	0	1
FBgn0036678	4	2	2	1	4	1	1
FBgn0036679	2	0	0	1	1	0	1
FBgn0036680	6	11	7	2	2	6	0
FBgn0036681	0	1	0	0	0	1	0
FBgn0036684	789	762	581	1150	1856	887	890
FBgn0036685	2057	2049	1790	1621	2438	1170	1599
FBgn0036686	1747	1779	1146	1746	2468	1040	1215
FBgn0036687	5	4	5	1	6	5	5
FBgn0036688	497	635	421	332	399	190	248
FBgn0036689	169	129	132	177	170	86	88
FBgn0036690	4	7	6	2	3	0	4
FBgn0036691	241	348	273	312	366	143	242
FBgn0036695	416	428	329	451	593	248	311
FBgn0036696	220	204	222	219	270	131	166
FBgn0036697	819	675	686	766	964	436	497
FBgn0036698	0	4	5	2	1	2	1
FBgn0036702	4373	4621	3669	2877	4675	2477	2562
FBgn0036703	0	0	0	0	0	0	0
FBgn0036704	0	0	0	0	0	0	0
FBgn0036705	0	0	0	0	0	0	0
FBgn0036706	1	1	0	0	2	0	0
FBgn0036707	1	0	0	1	0	0	0
FBgn0036708	0	0	0	0	0	0	0
FBgn0036709	0	0	0	1	0	0	0
FBgn0036710	998	949	773	951	1229	640	642
FBgn0036711	0	0	0	0	0	0	0
FBgn0036712	0	0	0	0	0	0	0
FBgn0036713	0	0	0	0	0	0	0
FBgn0036714	556	483	366	405	652	286	328
FBgn0036715	0	0	2	0	2	0	0
FBgn0036716	0	1	1	0	1	0	0
FBgn0036717	0	0	0	0	0	0	0
FBgn0036723	53	42	33	41	55	26	23
FBgn0036725	1	2	1	0	1	1	0
FBgn0036726	688	552	444	568	766	326	432
FBgn0036727	4	5	4	5	12	3	6
FBgn0036728	2577	2356	2737	2639	2493	1452	1710
FBgn0036729	0	0	0	0	2	1	0
FBgn0036730	2	5	0	1	2	2	1
FBgn0036731	4	5	6	1	2	1	2
FBgn0036732	2522	2355	1977	2797	4795	2572	2645
FBgn0036733	530	626	457	493	675	315	362
FBgn0036734	957	1298	811	894	1555	835	849
FBgn0036735	1315	1014	768	800	1866	887	737
FBgn0036738	0	1	0	0	0	2	1
FBgn0036740	1442	1210	1466	1449	1560	991	1232
FBgn0036741	1378	1258	1155	1829	1739	1069	1107
FBgn0036742	33	35	27	54	26	22	17
FBgn0036745	1522	1193	1011	1226	1636	661	944
FBgn0036746	923	1272	925	953	1882	1087	1076
FBgn0036747	1	0	0	1	0	1	1
FBgn0036749	42	45	28	47	68	31	37
FBgn0036750	0	0	0	1	0	1	1
FBgn0036751	1	0	1	1	1	1	3
FBgn0036752+FBgn0043025	10319	9507	7157	7879	7873	3953	4090
FBgn0036754	231	263	178	235	332	128	189
FBgn0036756	0	0	0	0	0	0	0
FBgn0036757	0	0	0	0	0	0	0
FBgn0036759	43	35	44	49	52	30	31
FBgn0036760	307	252	206	248	363	158	208
FBgn0036761	1120	1097	905	1018	1716	712	826
FBgn0036762	2771	3612	2956	3921	4251	2532	3006
FBgn0036763	596	660	476	572	684	347	409
FBgn0036764	5551	5517	4484	4554	4244	2499	3070
FBgn0036765	404	311	233	215	357	185	217
FBgn0036766	1	4	3	0	3	1	4
FBgn0036767	0	0	0	0	0	0	0
FBgn0036768	2	1	0	0	1	0	1
FBgn0036769	10	5	8	4	11	8	6
FBgn0036770	1831	1877	1396	2597	2785	1491	1637
FBgn0036771	272	282	188	190	291	108	152
FBgn0036772	1090	931	652	1006	1432	604	686
FBgn0036773	0	1	2	0	1	0	0
FBgn0036774	462	559	573	566	716	362	431
FBgn0036775	496	528	512	497	862	409	509
FBgn0036777+FBgn0052195	186	141	102	144	265	101	86
FBgn0036778	10	7	3	2	4	2	2
FBgn0036780	0	0	0	0	0	0	0
FBgn0036781	0	0	0	0	0	0	0
FBgn0036782	3	5	0	2	4	2	2
FBgn0036783	0	1	0	0	0	0	0
FBgn0036784	0	0	0	0	0	0	0
FBgn0036785	0	0	0	0	0	0	0
FBgn0036786	1	0	1	0	0	0	0
FBgn0036787	0	0	0	0	0	0	0
FBgn0036789	0	0	0	0	0	0	0
FBgn0036790	0	0	0	0	0	0	0
FBgn0036791	0	0	0	0	0	0	0
FBgn0036793+FBgn0036799	0	1	0	1	1	0	0
FBgn0036794	1	0	0	0	0	0	0
FBgn0036795	0	0	0	0	1	0	0
FBgn0036796	0	0	0	0	0	0	0
FBgn0036801	16	59	24	54	62	29	36
FBgn0036804	283	227	167	182	245	82	124
FBgn0036805	930	871	698	794	1175	619	707
FBgn0036806	499	469	370	441	660	297	329
FBgn0036807	0	0	0	0	0	0	0
FBgn0036808	0	0	0	0	0	0	0
FBgn0036809	42	47	36	28	32	21	19
FBgn0036810	0	0	0	0	0	0	0
FBgn0036811	274	210	203	198	228	112	176
FBgn0036812	126	99	63	88	177	56	64
FBgn0036813	628	571	615	573	851	489	532
FBgn0036814	2215	1909	1367	1530	3518	1476	1291
FBgn0036815	629	578	382	618	836	302	399
FBgn0036816	5323	4696	4124	6072	6589	3506	3866
FBgn0036817	30	54	43	36	51	18	24
FBgn0036818	83	60	36	47	92	31	38
FBgn0036819	57	33	47	35	50	36	35
FBgn0036820	105	92	94	83	147	84	79
FBgn0036821	273	198	205	288	1154	711	649
FBgn0036822	18	7	5	3	6	0	0
FBgn0036824	2615	3098	2744	3599	4727	2769	3744
FBgn0036825	25119	38671	26672	30194	42618	21162	28849
FBgn0036826	255	205	159	186	344	80	135
FBgn0036827	387	306	246	245	458	201	206
FBgn0036828	675	663	467	578	817	411	434
FBgn0036830+FBgn0036829	1	0	0	0	3	2	0
FBgn0036831	0	0	0	0	0	0	0
FBgn0036832	0	0	0	0	0	0	0
FBgn0036833	0	0	0	0	0	0	0
FBgn0036834	4	5	3	2	3	8	6
FBgn0036835	0	0	0	0	0	0	0
FBgn0036836	2	0	1	1	5	4	4
FBgn0036838+FBgn0036837	315	311	186	252	391	175	174
FBgn0036839	0	0	0	0	0	0	0
FBgn0036842	1645	1384	1138	1539	1843	831	947
FBgn0036843	349	304	215	348	244	149	178
FBgn0036844	2250	1861	1558	1436	2507	1357	1236
FBgn0036846	507	507	384	514	724	293	399
FBgn0036847	1379	1137	716	1080	1323	478	644
FBgn0036848	498	591	452	493	485	280	311
FBgn0036849	55	38	44	58	50	29	39
FBgn0036850	217	201	156	147	218	101	88
FBgn0036851	0	1	0	0	0	1	1
FBgn0036853	209	163	174	185	217	110	148
FBgn0036856+FBgn0259720	228	298	264	310	380	228	259
FBgn0036857	478	488	346	542	785	317	417
FBgn0036858	0	0	0	0	0	0	0
FBgn0036859	1	0	0	2	2	0	1
FBgn0036860	0	4	1	0	0	0	0
FBgn0036861	0	0	0	0	0	0	0
FBgn0036862	504	413	337	103	328	164	133
FBgn0036868	0	0	0	0	0	0	0
FBgn0036870	1	5	3	0	6	1	4
FBgn0036871	0	0	0	0	0	0	0
FBgn0036872	1	0	0	0	0	0	0
FBgn0036873	0	1	0	0	0	0	0
